fixed_acidity;volatile_acidity;citric_acid;residual_sugar;chlorides;free_sulfur_dioxide;total_sulfur_dioxide;density;pH;sulphates;alcohol;quality;color
52;34;0;18;5;270;630;9916;368;79;140;6;0
81;67;55;18;1,17E+16;320;1410;9968;317;62;94;5;0
58;68;2;18;87;210;940;9944;354;52;100;5;0
76;49;26;16;2,36E+16;100;880;9968;311;8;93;5;0
69;49;1;23;7,4E+15;120;300;9959;342;58;102;6;0
82;4;44;28;8,9E+15;110;430;9975;353;61;105;6;0
73;33;47;21;77;50;110;9958;333;53;103;6;0
92;52;10;34;61;320;690;9996;274;20;94;4;0
75;6;3;18;95;250;990;995;335;54;101;5;0
75;6;3;18;95;250;990;995;335;54;101;5;0
71;43;42;55;7;290;1290;9973;342;72;105;5;0
71;43;42;55;71;280;1280;9973;342;71;105;5;0
71;43;42;55;7;290;1290;9973;342;72;105;5;0
71;43;42;55;71;280;1280;9973;342;71;105;5;0
71;68;0;22;73;120;220;9969;348;5;93;5;0
68;6;18;19;79;180;860;9968;359;57;93;6;0
76;95;3;20;9;70;200;9959;32;56;96;5;0
76;68;2;13;7,2E+15;90;200;9965;317;108;92;4;0
78;53;4;17;76;170;310;9964;333;56;100;6;0
74;6;26;73;7;360;1210;9982;337;49;94;5;0
73;59;26;72;7;350;1210;9981;337;49;94;5;0
78;63;48;17;1;140;960;9961;319;62;95;5;0
68;64;1;21;85;180;1010;9956;334;52;102;5;0
73;55;3;16;7,2E+15;170;420;9956;337;48;90;4;0
68;63;7;21;8,9E+15;110;440;9953;347;55;104;6;0
75;705;24;18;36;150;630;9964;30;159;95;5;0
79;885;3;18;5,8E+16;40;80;9972;336;33;91;4;0
80;42;17;20;73;60;180;9972;329;61;92;6;0
80;42;17;20;73;60;180;9972;329;61;92;6;0
74;62;5;19;68;240;420;9961;342;57;115;6;0
73;38;21;20;8;70;350;9961;333;47;95;5;0
69;5;4;15;85;190;490;9958;335;78;95;5;0
73;38;21;20;8;70;350;9961;333;47;95;5;0
75;52;42;23;87;80;380;9972;358;61;105;6;0
70;805;0;25;68;70;200;9969;348;56;96;5;0
88;61;14;24;67;100;420;9969;319;59;95;5;0
88;61;14;24;67;100;420;9969;319;59;95;5;0
89;61;49;20;27;230;1100;9972;312;102;93;5;0
72;73;2;25;76;160;420;9972;344;52;93;5;0
68;61;2;18;77;110;650;9971;354;58;93;5;0
67;62;21;19;79;80;620;997;352;58;93;6;0
89;31;57;20;111;260;850;9971;326;53;97;5;0
74;39;48;20;8,2E+15;140;670;9972;334;55;92;5;0
77;705;1;26;84;90;260;9976;339;49;97;5;0
79;5;33;20;84;150;1430;9968;32;55;95;5;0
79;49;32;19;8,2E+15;170;1440;9968;32;55;95;5;0
82;5;35;29;77;210;1270;9976;323;62;94;5;0
64;37;25;19;7,4E+15;210;490;9974;357;62;98;6;0
68;63;12;38;99;160;1260;9969;328;61;95;5;0
76;55;21;22;71;70;280;9964;328;55;97;5;0
76;55;21;22;71;70;280;9964;328;55;97;5;0
78;59;33;20;7,4E+15;240;1200;9968;325;54;94;5;0
73;58;3;24;7,4E+15;150;550;9968;346;59;102;5;0
115;3;6;20;67;120;270;9981;311;97;101;6;0
54;835;8;12;46;130;930;9924;357;85;130;7;0
69;109;6;21;61;120;310;9948;351;43;114;4;0
96;32;47;14;5,6E+16;90;240;99695;322;82;103;7;0
88;37;48;21;9,7E+15;390;1450;9975;304;103;93;5;0
68;5;11;15;75;160;490;99545;336;79;95;5;0
70;42;35;16;8,8E+15;160;390;9961;334;55;92;5;0
70;43;36;16;8,9E+15;140;370;99615;334;56;92;6;0
128;3;74;26;95;90;280;9994;32;77;108;7;0
128;3;74;26;95;90;280;9994;32;77;108;7;0
78;57;31;18;69;260;1200;99625;329;53;93;5;0
78;44;28;27;1;180;950;9966;322;67;94;5;0
110;3;58;21;5,4E+16;70;190;998;331;88;105;7;0
97;53;6;20;39;50;190;99585;33;86;124;6;0
80;725;24;28;83;100;620;99685;335;56;100;6;0
116;44;64;21;5,9E+16;50;150;998;321;67;102;6;0
82;57;26;22;6;280;650;9959;33;43;101;5;0
78;735;8;24;92;100;410;9974;324;71;98;6;0
70;49;49;56;6;260;1210;9974;334;76;105;5;0
87;625;16;20;1,01E+16;130;490;9962;314;57;110;5;0
81;725;22;22;7,2E+15;110;410;9967;336;55;91;5;0
75;49;19;19;76;100;440;9957;339;54;97;5;0
78;53;33;24;8;240;1440;99655;33;6;95;5;0
78;34;37;20;8,2E+15;240;580;9964;334;59;94;6;0
74;53;26;20;1,01E+16;160;720;9957;315;57;94;5;0
68;61;4;15;57;50;100;99525;342;6;95;5;0
86;645;25;20;83;80;280;99815;328;6;100;6;0
84;635;36;20;8,9E+15;150;550;99745;331;57;104;4;0
77;43;25;26;73;290;630;99615;337;58;105;6;0
89;59;5;20;337;270;810;9964;304;161;95;6;0
90;82;14;26;8,9E+15;90;230;9984;339;63;98;5;0
77;43;25;26;73;290;630;99615;337;58;105;6;0
69;52;25;26;81;100;370;99685;346;5;110;5;0
52;48;4;16;5,4E+16;190;1060;9927;354;62;122;7;0
80;38;6;18;78;120;490;99625;337;52;99;6;0
85;37;2;28;9;180;580;998;334;7;96;6;0
69;52;25;26;81;100;370;99685;346;5;110;5;0
82;10;9;23;65;70;370;99685;332;55;90;6;0
72;63;0;19;9,7E+15;140;380;99675;337;58;90;6;0
72;63;0;19;9,7E+15;140;380;99675;337;58;90;6;0
72;645;0;19;9,7E+15;150;390;99675;337;58;92;6;0
72;63;0;19;9,7E+15;140;380;99675;337;58;90;6;0
82;10;9;23;65;70;370;99685;332;55;90;6;0
89;635;37;17;263;50;620;9971;30;109;93;5;0
120;38;56;21;9,3E+15;60;240;99925;314;71;109;6;0
77;58;1;18;102;280;1090;99565;308;49;98;6;0
150;21;44;22;75;100;240;100005;307;84;92;7;0
150;21;44;22;75;100;240;100005;307;84;92;7;0
73;66;0;20;84;60;230;9983;361;96;99;6;0
71;68;7;19;75;160;510;99685;338;52;95;5;0
82;6;17;23;7,2E+15;110;730;9963;32;45;93;5;0
77;53;6;17;7,4E+15;90;390;99615;335;48;98;6;0
73;66;0;20;84;60;230;9983;361;96;99;6;0
108;32;44;16;63;160;370;9985;322;78;100;6;0
71;6;0;18;7,4E+15;160;340;9972;347;7;99;6;0
111;35;48;31;9;50;210;9986;317;53;105;5;0
77;775;42;19;92;80;860;9959;323;59;95;5;0
71;6;0;18;7,4E+15;160;340;9972;347;7;99;6;0
80;57;23;32;73;170;1190;99675;326;57;93;5;0
94;34;37;22;75;50;130;998;322;62;92;5;0
66;695;0;21;75;120;560;9968;349;67;92;5;0
77;41;76;18;611;80;450;9968;306;126;94;5;0
100;31;47;26;85;140;330;99965;336;8;105;7;0
79;33;23;17;77;180;450;99625;329;65;93;5;0
70;975;4;20;87;120;670;99565;335;6;94;4;0
80;52;3;17;7;100;350;99575;334;57;100;5;0
79;37;23;18;77;230;490;9963;328;67;93;5;0
125;56;49;24;64;50;270;9999;308;87;109;5;0
118;26;52;18;71;60;100;9968;32;72;102;7;0
81;87;0;33;96;260;610;100025;36;72;98;4;0
79;35;46;36;78;150;370;9973;335;86;128;8;0
69;54;4;30;77;70;270;9987;369;91;94;6;0
115;18;51;40;1,04E+16;40;230;9996;328;97;101;6;0
79;545;6;40;87;270;610;9965;336;67;107;6;0
115;18;51;40;1,04E+16;40;230;9996;328;97;101;6;0
109;37;58;40;71;170;650;99935;322;78;101;5;0
84;715;2;24;76;100;380;99735;331;64;94;5;0
75;65;18;70;8,8E+15;270;940;99915;338;77;94;5;0
79;545;6;40;87;270;610;9965;336;67;107;6;0
69;54;4;30;77;70;270;9987;369;91;94;6;0
115;18;51;40;1,04E+16;40;230;9996;328;97;101;6;0
103;32;45;64;73;50;130;9976;323;82;126;8;0
89;4;32;56;87;100;470;9991;338;77;105;7;0
114;26;44;36;71;60;190;9986;312;82;93;6;0
77;27;68;35;358;50;100;9972;325;108;99;7;0
76;52;12;30;67;120;530;9971;336;57;91;5;0
89;4;32;56;87;100;470;9991;338;77;105;7;0
99;59;7;34;102;320;710;100015;331;71;98;5;0
99;59;7;34;102;320;710;100015;331;71;98;5;0
120;45;55;20;73;250;490;9997;31;76;103;6;0
75;4;12;30;92;290;530;9967;337;7;103;6;0
87;52;9;25;91;200;490;9976;334;86;106;7;0
116;42;53;33;105;330;980;1001;32;95;92;5;0
87;52;9;25;91;200;490;9976;334;86;106;7;0
110;2;48;20;3,43E+16;60;180;9979;33;71;105;5;0
104;55;23;27;91;180;480;9994;322;64;103;6;0
69;36;25;24;98;50;160;9964;341;6;101;6;0
133;34;52;32;94;170;530;10014;305;81;95;6;0
108;5;46;25;73;50;270;10001;305;64;95;5;0
106;83;37;26;86;260;700;9981;316;52;99;5;0
71;63;6;20;83;80;290;99855;367;73;96;5;0
72;65;2;23;94;50;310;9993;367;8;97;5;0
69;67;6;21;8;80;330;99845;368;71;96;5;0
75;53;6;26;86;200;440;9965;338;59;107;6;0
111;18;48;15;68;70;150;9973;322;64;101;6;0
83;705;12;26;92;120;280;9994;351;72;100;5;0
74;67;12;16;1,86E+16;50;210;996;339;54;95;5;0
84;65;6;21;1,12E+16;120;900;9973;32;52;92;5;0
103;53;48;25;63;60;250;9998;312;59;93;6;0
76;62;32;22;8,2E+15;70;540;9966;336;52;94;5;0
103;41;42;24;213;60;140;9994;319;62;95;6;0
103;43;44;24;214;50;120;9994;319;63;95;6;0
74;29;38;17;62;90;300;9968;341;53;95;6;0
103;53;48;25;63;60;250;9998;312;59;93;6;0
79;53;24;20;7,2E+15;150;1050;996;327;54;94;6;0
90;46;31;28;9,3E+15;190;980;99815;332;63;95;6;0
86;47;3;30;76;300;1350;9976;33;53;94;5;0
74;36;29;26;87;260;720;99645;339;68;110;5;0
71;35;29;25;96;200;530;9962;342;65;110;6;0
96;56;23;34;102;370;920;9996;33;65;101;5;0
96;77;12;29;8,2E+15;300;740;99865;33;64;104;6;0
98;66;39;32;83;210;590;9989;337;71;115;7;0
96;77;12;29;8,2E+15;300;740;99865;33;64;104;6;0
98;66;39;32;83;210;590;9989;337;71;115;7;0
93;61;26;34;9;250;870;99975;324;62;97;5;0
78;62;5;23;79;60;180;99735;329;63;93;5;0
103;59;42;28;9;350;730;9,99E+15;328;7;95;6;0
100;49;2;110;71;130;500;10015;316;69;92;6;0
100;49;2;110;71;130;500;10015;316;69;92;6;0
116;53;66;365;121;60;140;9978;305;74;115;7;0
103;44;5;45;107;50;130;998;328;83;115;5;0
134;27;62;26;8,2E+15;60;210;10002;316;67;97;6;0
107;46;39;20;61;70;150;9981;318;62;95;5;0
102;36;64;29;122;100;410;998;323;66;125;6;0
102;36;64;29;122;100;410;998;323;66;125;6;0
80;58;28;32;66;210;1140;9973;322;54;94;6;0
84;56;8;21;105;160;440;9958;313;52;110;5;0
79;65;1;25;78;170;380;9963;334;74;117;7;0
119;695;53;34;128;70;210;9992;317;84;122;7;0
89;43;45;19;5,2E+16;60;160;9948;335;7;125;6;0
78;43;32;28;8;290;580;9974;331;64;103;5;0
124;49;58;30;1,03E+16;280;990;10008;316;10;115;6;0
125;28;54;23;8,2E+15;120;290;9997;311;136;98;7;0
122;34;5;24;66;100;210;10;312;118;92;6;0
106;42;48;27;65;50;180;9972;321;87;113;6;0
109;39;47;18;1,18E+16;60;140;9982;33;75;98;6;0
109;39;47;18;1,18E+16;60;140;9982;33;75;98;6;0
119;57;5;26;8,2E+15;60;320;10006;312;78;107;6;0
70;685;0;19;67;400;630;9979;36;81;99;5;0
66;815;2;27;7,2E+15;170;340;9955;358;89;123;7;0
138;49;67;30;9,3E+15;60;150;9986;302;93;120;6;0
96;56;31;28;8,9E+15;150;460;9979;311;92;100;6;0
91;785;0;26;9,3E+15;110;280;9994;336;86;94;6;0
107;67;22;27;107;170;340;10004;328;98;99;6;0
91;795;0;26;96;110;260;9994;335;83;94;6;0
77;665;0;24;9;80;190;9974;327;73;93;5;0
135;53;79;48;12;230;770;10018;318;77;130;5;0
61;21;4;14;66;405;1650;9912;325;59;119;6;0
67;75;1;24;78;170;320;9955;355;61;128;6;0
115;41;52;30;8;290;550;10001;326;88;110;5;0
105;42;66;295;1,16E+16;120;290;997;324;75;117;7;0
119;43;66;31;109;100;230;10;315;85;104;7;0
126;38;66;26;8,8E+15;100;410;1001;317;68;98;6;0
82;7;23;20;99;140;810;9973;319;7;94;5;0
86;45;31;26;86;210;500;9982;337;91;99;6;0
119;58;66;25;7,2E+15;60;370;9992;305;56;100;5;0
125;46;63;20;71;60;150;9988;299;87;102;5;0
128;615;66;58;83;70;420;10022;307;73;100;7;0
100;42;5;34;107;70;210;9979;326;93;118;6;0
128;615;66;58;83;70;420;10022;307;73;100;7;0
104;575;61;26;76;110;240;10;316;69;90;5;0
103;34;52;28;159;150;750;9998;318;64;94;5;0
94;27;53;24;7,4E+15;60;180;9962;32;113;120;7;0
69;765;2;23;63;350;630;9975;357;78;99;5;0
79;24;4;16;5,6E+16;110;250;9967;332;87;87;6;0
91;28;48;18;67;260;460;9967;332;104;106;6;0
74;55;22;22;106;120;720;9959;305;63;92;5;0
140;41;63;38;8,9E+15;60;470;10014;301;81;108;6;0
115;54;71;44;124;60;150;9984;301;83;118;7;0
115;45;5;30;78;190;470;10003;326;111;110;6;0
94;27;53;24;7,4E+15;60;180;9962;32;113;120;7;0
114;625;66;62;8,8E+15;60;240;9988;311;99;133;6;0
83;42;38;25;94;240;600;9979;331;7;108;6;0
83;26;42;20;8;110;270;9974;321;8;94;6;0
137;415;68;29;85;170;430;10014;306;8;100;6;0
83;26;42;20;8;110;270;9974;321;8;94;6;0
83;26;42;20;8;110;270;9974;321;8;94;6;0
77;51;28;21;87;230;540;998;342;74;92;5;0
74;63;7;24;9;110;370;9979;343;76;97;6;0
78;54;26;20;8,8E+15;230;480;9981;341;74;92;6;0
83;66;15;19;79;170;420;9972;331;54;96;6;0
78;46;26;19;8,8E+15;230;530;9981;343;74;92;6;0
96;38;31;25;96;160;490;9982;319;7;100;7;0
56;85;5;14;45;120;880;9924;356;82;129;8;0
137;415;68;29;85;170;430;10014;306;8;100;6;0
95;37;52;20;8,2E+15;60;260;998;318;51;95;5;0
84;665;61;20;1,12E+16;130;950;997;316;54;91;5;0
127;6;65;23;63;60;250;9997;303;57;99;5;0
120;37;76;42;66;70;380;10004;322;6;130;7;0
66;735;2;79;122;680;1240;9994;347;53;99;5;0
115;59;59;26;87;130;490;9988;318;65;110;6;0
115;59;59;26;87;130;490;9988;318;65;110;6;0
87;765;22;23;64;90;420;9963;31;55;94;5;0
66;735;2;79;122;680;1240;9994;347;53;99;5;0
77;26;3;17;5,9E+16;200;380;9949;329;47;108;6;0
122;48;54;26;85;190;640;10;31;61;105;6;0
114;6;49;27;85;100;410;9994;315;63;105;6;0
77;69;5;27;75;150;270;9974;326;61;91;5;0
87;31;46;14;5,9E+16;110;250;9966;336;76;101;6;0
98;44;47;25;63;90;280;9981;324;65;108;6;0
120;39;66;30;9,3E+15;120;300;9996;318;63;108;7;0
104;34;58;37;174;60;160;997;319;7;113;6;0
125;46;49;45;7;260;490;9981;305;57;96;4;0
90;43;34;25;8;260;860;9987;338;62;95;6;0
91;45;35;24;8;230;780;9987;338;62;95;5;0
71;735;16;19;1;150;770;9966;327;64;93;5;0
99;4;53;67;9,7E+15;60;190;9986;327;82;117;7;0
88;52;34;27;87;240;1220;9982;326;61;95;5;0
86;725;24;66;1,17E+16;310;1340;10014;332;107;93;5;0
106;48;64;22;111;60;200;997;326;66;117;6;0
70;58;12;19;91;340;1240;9956;344;48;105;5;0
119;38;51;20;121;70;200;9996;324;76;104;6;0
68;77;0;18;66;340;520;9976;362;68;99;5;0
95;56;33;24;8,9E+15;350;670;9972;328;73;118;7;0
66;84;3;23;5,9E+16;320;480;9952;352;56;123;7;0
77;96;2;20;47;150;600;9955;336;44;109;5;0
105;24;47;21;66;60;240;9978;315;9;110;7;0
77;96;2;20;47;150;600;9955;336;44;109;5;0
66;84;3;23;5,9E+16;320;480;9952;352;56;123;7;0
64;67;8;21;45;190;480;9949;349;49;114;6;0
95;78;22;19;77;60;320;9988;326;56;106;6;0
91;52;33;13;7;90;300;9978;324;6;93;5;0
128;84;63;24;8,8E+15;130;350;9997;31;6;104;6;0
105;24;47;21;66;60;240;9978;315;9;110;7;0
78;55;35;22;7,4E+15;210;660;9974;325;56;92;5;0
119;37;69;23;78;120;240;9958;30;65;128;6;0
123;39;63;23;91;60;180;10004;316;49;95;5;0
104;41;55;32;76;220;540;9996;315;89;99;6;0
123;39;63;23;91;60;180;10004;316;49;95;5;0
80;67;3;20;6;380;620;9958;326;56;102;6;0
111;45;73;32;66;60;220;9986;317;66;112;6;0
104;41;55;32;76;220;540;9996;315;89;99;6;0
70;62;18;15;62;70;500;9951;308;6;93;5;0
126;31;72;22;7,2E+15;60;290;9987;288;82;98;8;0
119;4;65;215;68;70;270;9988;306;68;113;6;0
156;685;76;37;1;60;430;10032;295;68;112;7;0
100;44;49;27;77;110;190;9963;323;63;116;7;0
53;57;1;17;5,4E+16;50;270;9934;357;84;125;7;0
95;735;1;21;79;60;310;9986;323;56;101;6;0
125;38;6;26;81;310;720;9996;31;73;105;5;0
93;48;29;21;127;60;160;9968;322;72;112;5;0
86;53;22;20;1;70;270;9967;32;56;102;6;0
119;39;69;28;95;170;350;9994;31;61;108;6;0
119;39;69;28;95;170;350;9994;31;61;108;6;0
84;37;53;18;413;90;260;9979;306;106;91;6;0
68;56;3;17;84;180;350;9968;344;63;100;6;0
104;33;63;28;84;50;220;9998;326;74;112;7;0
70;23;4;16;63;210;670;9952;35;63;111;5;0
113;62;67;52;86;60;190;9988;322;69;134;8;0
89;59;39;23;95;50;220;9986;337;58;103;5;0
92;63;21;27;9,7E+15;290;650;9988;328;58;96;5;0
104;33;63;28;84;50;220;9998;326;74;112;7;0
116;58;66;22;7,4E+15;100;470;10008;325;57;90;3;0
92;43;52;23;83;140;230;9976;335;61;113;6;0
83;615;22;26;87;60;190;9982;326;61;93;5;0
110;26;68;255;85;100;250;997;318;61;118;5;0
81;66;7;22;98;250;1290;9972;308;53;90;5;0
115;315;54;21;84;50;150;9987;298;7;92;6;0
100;29;4;29;98;100;260;10006;348;91;97;5;0
103;5;42;20;69;210;510;9982;316;72;115;6;0
88;46;45;26;65;70;180;9947;332;79;140;6;0
114;36;69;21;9;60;210;10;317;62;92;6;0
87;82;2;12;7;360;480;9952;32;58;98;5;0
130;32;65;26;9,3E+15;150;470;9996;305;61;106;5;0
96;54;42;24;81;250;520;997;32;71;114;6;0
125;37;55;26;83;250;680;9995;315;82;104;6;0
99;35;55;21;62;50;140;9971;326;79;106;5;0
105;28;51;17;8;100;240;9982;32;89;94;6;0
96;68;24;22;87;50;280;9988;314;6;102;5;0
93;27;41;20;91;60;160;998;328;7;97;5;0
104;24;49;18;75;60;200;9977;318;106;110;6;0
96;68;24;22;87;50;280;9988;314;6;102;5;0
94;685;11;27;77;60;310;9984;319;7;101;6;0
106;28;39;155;69;60;230;10026;312;66;92;5;0
94;3;56;28;8;60;170;9964;315;92;117;8;0
106;36;59;22;152;60;180;9986;304;105;94;5;0
106;36;6;22;152;70;180;9986;304;106;94;5;0
106;44;68;41;114;60;240;997;306;66;134;6;0
102;67;39;19;5,4E+16;60;170;9976;317;47;100;5;0
102;67;39;19;5,4E+16;60;170;9976;317;47;100;5;0
102;645;36;18;53;50;140;9982;317;42;100;6;0
116;32;55;28;81;350;670;10002;332;92;108;7;0
